"sex" "age" "period" "region" "outcome" "cases" "pop"
"521" 1 3 4 5 "Deaths" 6 12831
"522" 2 3 4 5 "Deaths" 4 12148
"523" 1 4 4 5 "Deaths" 6 12348
"524" 2 4 4 5 "Deaths" 8 12230
"525" 1 5 4 5 "Deaths" 4 6251
"526" 2 5 4 5 "Deaths" 8 8191
"527" 1 6 4 5 "Deaths" 5 2292
"528" 2 6 4 5 "Deaths" 5 4886
"529" 1 1 5 5 "Deaths" 16 58442
"530" 2 1 5 5 "Deaths" 16 54428
"531" 1 2 5 5 "Deaths" 4 16212
"532" 2 2 5 5 "Deaths" 4 14726
"533" 1 3 5 5 "Deaths" 6 13226
"534" 2 3 5 5 "Deaths" 4 12501
"535" 1 4 5 5 "Deaths" 5 12191
"536" 2 4 5 5 "Deaths" 9 12011
"537" 1 5 5 5 "Deaths" 9 6916
"538" 2 5 5 5 "Deaths" 6 8827
"539" 1 6 5 5 "Deaths" 5 2429
"540" 2 6 5 5 "Deaths" 4 5206
"541" 1 1 6 5 "Deaths" 16 56562
"542" 2 1 6 5 "Deaths" 17 52598
"543" 1 2 6 5 "Deaths" 8 16468
"544" 2 2 6 5 "Deaths" 4 15098
"545" 1 3 6 5 "Deaths" 4 13874
"546" 2 3 6 5 "Deaths" 4 13051
"547" 1 4 6 5 "Deaths" 5 11827
"548" 2 4 6 5 "Deaths" 5 11581
"549" 1 5 6 5 "Deaths" 8 7626
"550" 2 5 6 5 "Deaths" 7 9559
"551" 1 6 6 5 "Deaths" 5 2577
"552" 2 6 6 5 "Deaths" 6 5482
"553" 1 1 7 5 "Deaths" 18 55105
"554" 2 1 7 5 "Deaths" 17 51063
"555" 1 2 7 5 "Deaths" 4 16748
"556" 2 2 7 5 "Deaths" 4 15476
"557" 1 3 7 5 "Deaths" 5 14454
"558" 2 3 7 5 "Deaths" 4 13505
"559" 1 4 7 5 "Deaths" 5 11499
"560" 2 4 7 5 "Deaths" 7 11258
"561" 1 5 7 5 "Deaths" 4 8262
"562" 2 5 7 5 "Deaths" 6 10157
"563" 1 6 7 5 "Deaths" 5 2776
"564" 2 6 7 5 "Deaths" 4 5829
"601" 1 1 1 6 "Deaths" 21 223117
"602" 2 1 1 6 "Deaths" 16 217634
"603" 1 2 1 6 "Deaths" 6 48882
"604" 2 2 1 6 "Deaths" 7 50500
"605" 1 3 1 6 "Deaths" 6 41550
"606" 2 3 1 6 "Deaths" 6 44144
"607" 1 4 1 6 "Deaths" 7 31187
"608" 2 4 1 6 "Deaths" 7 38005
"609" 1 5 1 6 "Deaths" 7 15527
"610" 2 5 1 6 "Deaths" 5 26438
"611" 1 6 1 6 "Deaths" 7 5732
"612" 2 6 1 6 "Deaths" 5 14392
"613" 1 1 2 6 "Deaths" 18 216712
"614" 2 1 2 6 "Deaths" 16 211008
"615" 1 2 2 6 "Deaths" 5 50558
"616" 2 2 2 6 "Deaths" 4 52474
"617" 1 3 2 6 "Deaths" 7 41300
"618" 2 3 2 6 "Deaths" 7 43707
"619" 1 4 2 6 "Deaths" 8 33278
"620" 2 4 2 6 "Deaths" 7 39812
"621" 1 5 2 6 "Deaths" 8 16332
"622" 2 5 2 6 "Deaths" 7 27351
"623" 1 6 2 6 "Deaths" 4 6313
"624" 2 6 2 6 "Deaths" 7 15810
"625" 1 1 3 6 "Deaths" 18 212706
"626" 2 1 3 6 "Deaths" 18 206666
"627" 1 2 3 6 "Deaths" 7 51622
"628" 2 2 3 6 "Deaths" 6 53655
"629" 1 3 3 6 "Deaths" 11 42135
"630" 2 3 3 6 "Deaths" 8 44474
"631" 1 4 3 6 "Deaths" 11 35080
"632" 2 4 3 6 "Deaths" 5 41474
"633" 1 5 3 6 "Deaths" 6 18104
"634" 2 5 3 6 "Deaths" 7 29282
"635" 1 6 3 6 "Deaths" 5 6911
"636" 2 6 3 6 "Deaths" 4 17378
"637" 1 1 4 6 "Deaths" 21 208700
"638" 2 1 4 6 "Deaths" 16 202324
"639" 1 2 4 6 "Deaths" 6 52686
"640" 2 2 4 6 "Deaths" 4 54836
"641" 1 3 4 6 "Deaths" 10 42970
"642" 2 3 4 6 "Deaths" 11 45241
"643" 1 4 4 6 "Deaths" 12 36882
"644" 2 4 4 6 "Deaths" 10 43136
